#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Spiroplasma phage SVTS2	93224		0	Other	Plectroviridae	6.825	22.7	bacteria	 Unknown:NC_001270.2/AF133242.2	13	13	1999/12/16	2018/08/13	Complete Genome
Bacillus phage SPBc2	2932878		0	Other	Other	134.416	34.6	bacteria	 Unknown:NC_001884.1/AF020713.1	185	185	1998/04/06	2022/04/07	Complete Genome
Bacteriophage P2	2905681		0	Other	Peduoviridae	33.593	50.2	bacteria	 Unknown:NC_001895.1/AF063097.1	43	43	1998/05/19	2021/12/22	Complete Genome
Sweet potato golden vein associated virus	688540		0	Other	Geminiviridae	2.824	44.8	land plants	 DNA A:NC_015324.1/HQ333143.1	6	6	2011/03/30	2018/08/13	Complete Genome
Zalophus californianus papillomavirus 1	998829		0	Other	Papillomaviridae	7.584	58.5	vertebrates	 Unknown:NC_015325.1/HQ293213.1	7	7	2011/03/27	2018/08/13	Complete Genome
Lausannevirus	999883		0	Other	Marseilleviridae	346.754	42.9	protozoa	 Unknown:NC_015326.1/HQ113105.1	444	444	2011/03/29	2021/10/12	Complete Genome
Sweet potato collusive virus	930168		0	Other	Caulimoviridae	7.723	25.7	land plants	 Unknown:NC_015328.1/HQ694978.1	4	4	2011/04/04	2018/08/13	Complete Genome
Chandiru virus	629725		0	Other	Phenuiviridae	12.495	39.5243	human,invertebrates,vertebrates	 L:NC_015374.1/HM119407.1;  M:NC_015373.1/HM119408.1;  S:NC_015375.1/HM119409.1	4	4	2011/04/02	2018/08/13	Complete Genome
Celery mosaic virus	112436		0	Other	Potyviridae	9.999	40.8	land plants	NC_015393.1/HQ676607.1	2	2	2011/04/11	2018/08/13	Complete Genome
Hardenbergia mosaic virus	409486		0	Other	Potyviridae	9.682	41.6	land plants	NC_015394.2/HQ161081.1	2	2	2011/04/11	2018/08/13	Complete Genome
Hardenbergia virus A	1003891		0	Other	Betaflexiviridae	6.942	38.1	land plants	 Unknown:NC_015395.1/HQ241409.1	2	2	2011/04/11	2018/08/13	Complete Genome
Avian gyrovirus 2	1002273		0	Other	Anelloviridae	2.383	53.6	human,vertebrates	 Unknown:NC_015396.1/HM590588.1	3	3	2011/04/11	2018/08/13	Complete Genome
Cleome golden mosaic virus	858517		0	Other	Geminiviridae	2.566	49.5	land plants	 DNA A:NC_015397.1/HQ396465.1	3	3	2011/04/11	2018/08/13	Complete Genome
Clostera anachoreta granulovirus	283675		0	Other	Baculoviridae	101.487	44.4	invertebrates	 Unknown:NC_015398.1/HQ116624.1	123	123	2011/04/11	2018/08/13	Complete Genome
Diatraea saccharalis densovirus	72003		0	Other	Parvoviridae	5.941	35.5	invertebrates	 Unknown:NC_001899.1/AF036333.1	7	7	1998/06/02	2018/08/13	Complete Genome
Bean dwarf mosaic virus	10838		0	Other	Geminiviridae	5.191	44.606	-	 DNA A:NC_001931.1/M88179.1;  DNA B:NC_001930.1/M88180.1	6	6	1992/03/16	2018/08/13	Complete Genome
Squash leaf curl virus	10829		0	Other	Geminiviridae	5.241	44.0539	land plants	 DNA A:NC_001936.1/M38183.1;  DNA B:NC_001937.1/M38182.1	6	6	1992/06/15	2018/08/13	Complete Genome
Escherichia phage If1	10868		0	Other	Inoviridae	8.454	43.7	bacteria	 Unknown:NC_001954.1/U02303.1	10	10	1993/10/01	2018/08/13	Complete Genome
Ateline gammaherpesvirus 3	85618		0	Other	Herpesviridae	108.409	36.6	vertebrates	 Unknown:NC_001987.1/AF083424.1	73	71	1998/12/16	2018/08/13	Complete Genome
Melanoplus sanguinipes entomopoxvirus	83191		0	Other	Poxviridae	236.12	18.3	invertebrates	 Unknown:NC_001993.1/AF063866.1	267	267	1998/12/18	2020/12/20	Complete Genome
Escherichia phage T4	2681598		0	Other	Straboviridae	168.903	35.3	bacteria	 Unknown:NC_000866.4/AF158101.6	288	278	1999/07/05	2021/10/11	Complete Genome
Pepper leaf curl virus	83839		0	Other	Geminiviridae	2.744	43.5	land plants	 DNA A:NC_000882.1/AF134484.2	6	6	1999/08/02	2018/08/13	Complete Genome
Escherichia phage HK022	2681618		0	Other	Other	40.751	49.5	bacteria	 Unknown:NC_002166.1/AF069308.1	35	35	2000/02/04	2021/10/28	Complete Genome
Streptococcus phage 7201	2905727		0	Other	Other	35.466	38.7	bacteria	 Unknown:NC_002185.1/AF145054.1	46	46	2000/03/16	2021/12/22	Complete Genome
Streptococcus phage Sfi19	2905685		0	Other	Other	37.37	38.3	bacteria	 Unknown:NC_000871.1/AF115102.1	45	45	1999/07/09	2021/12/22	Complete Genome
Fowlpox virus	10261		0	Other	Poxviridae	288.539	30.9	vertebrates	 Unknown:NC_002188.1/AF198100.1	260	261	2000/03/21	2020/12/20	Complete Genome
Porcine circovirus 1	133704		0	Other	Circoviridae	1.758	48.4	human,vertebrates	NC_001792.2/AF071879.1	2	2	1998/09/09	2018/08/13	Complete Genome
Brussowvirus Sfi11	78541		0	Other	Other	39.807	38.6	bacteria	 Unknown:NC_002214.1/AF158600.2	51	51	2000/04/07	2021/10/11	Complete Genome
Porcine parvovirus	10796		0	Other	Parvoviridae	5.075	37.9	vertebrates	 Unknown:NC_001718.1/L23427.1	3	6	1993/08/22	2018/08/13	Complete Genome
Cassava vein mosaic virus	38062		0	Other	Caulimoviridae	8.159	24.9	land plants	 Unknown:NC_001648.1/U59751.1	5	5	1996/07/02	2018/08/13	Complete Genome
Oryctolagus cuniculus papillomavirus 1	2772507		0	Other	Papillomaviridae	7.565	44.4	-	 Unknown:NC_002232.1/AF227240.1	9	9	2000/05/02	2020/11/20	Complete Genome
Torque teno mini virus 9	687377		0	Other	Anelloviridae	2.915	38.3	-	 Unknown:NC_002195.1/AB038625.1	3	3	2000/04/04	2018/08/13	Complete Genome
Pepper huasteco yellow vein virus	223303		0	Other	Geminiviridae	5.22	41.7129	land plants	 DNA A:NC_001359.1/X70418.1;  DNA B:NC_001369.1/X70419.1	7	7	1993/02/17	2018/08/13	Complete Genome
adeno-associated virus 2	10804		0	Other	Parvoviridae	4.679	53.8	human,vertebrates	 Unknown:NC_001401.2/AF043303.1	11	9	1993/04/27	2018/08/13	Complete Genome
Potato yellow mosaic virus	10827		0	Other	Geminiviridae	5.14	43.3125	land plants	 DNA A:NC_001934.1/D00940.1;  DNA B:NC_001935.1/D00941.1	6	6	1993/04/29	2018/08/13	Complete Genome
Chloris striate mosaic virus	10820		0	Other	Geminiviridae	2.75	53.6	land plants	 Unknown:NC_001466.1/M20021.1	4	5	1993/08/02	2018/08/13	Complete Genome
Digitaria streak virus	10837		0	Other	Geminiviridae	2.701	49.7	-	 Unknown:NC_001478.1/M23022.1	4	4	1992/03/23	2018/08/13	Complete Genome
Ground squirrel hepatitis virus	10406		0	Other	Hepadnaviridae	3.311	43.4	vertebrates	 Unknown:NC_001484.1/K02715.1	4	4	1993/08/02	2018/08/13	Complete Genome
Tomato golden mosaic virus	10831		0	Other	Geminiviridae	5.096	41.7235	land plants	 DNA A:NC_001507.1/K02029.1;  DNA B:NC_001508.1/K02030.1	7	7	1987/02/16	2018/08/13	Complete Genome
Deltapapillomavirus 2	10564		0	Other	Papillomaviridae	8.374	47.5	vertebrates	 Unknown:NC_001523.1/M11910.1	9	9	1993/08/02	2020/09/18	Complete Genome
Kappapapillomavirus 2	10623		0	Other	Papillomaviridae	7.868	46.4	vertebrates	 Unknown:NC_001541.1/K02708.1	10	10	1987/08/31	2018/08/13	Complete Genome
Pseudomonas phage Pf3	10872		0	Other	Inoviridae	5.833	45.4	bacteria	 Unknown:NC_001418.1/M11912.1	9	9	1993/04/28	2018/08/13	Complete Genome
Enterobacteria phage PRD1	10658		0	Other	Tectiviridae	14.927	48.1	bacteria	 Unknown:NC_001421.2/AY848689.1	31	31	1993/04/28	2020/12/20	Complete Genome
Aleutian mink disease virus	28314		0	Other	Parvoviridae	4.801	38.6	vertebrates	 Unknown:NC_001662.1/M20036.1	4	4	1993/08/02	2018/08/13	Complete Genome
Haemophilus phage HP1	2992577		0	Other	Peduoviridae	32.355	40	bacteria	 Unknown:NC_001697.1/U24159.1	42	42	1995/10/31	2021/10/11	Complete Genome
Tomato mottle virus	10835		0	Other	Geminiviridae	5.145	42.9672	land plants	 DNA A:NC_001938.1/L14460.1;  DNA B:NC_001939.1/L14461.1	6	6	1993/04/28	2018/08/13	Complete Genome
Lymphocystis disease virus 1	36363		0	Other	Iridoviridae	102.653	29.1	vertebrates	 Unknown:NC_001824.1/L63545.1	110	110	1997/07/24	2020/12/20	Complete Genome
Tomato mottle Taino virus	223358		0	Other	Geminiviridae	5.159	44.0605	land plants	 DNA A:NC_001828.1/AF012300.1;  DNA B:NC_001917.1/AF012301.1	10	6	1997/08/09	2018/08/13	Complete Genome
Sida golden mosaic virus	51034		0	Other	Geminiviridae	5.227	46.7022	land plants	 DNA A:NC_002046.1/AF049336.1;  DNA B:NC_002047.1/AF039841.1	7	7	1998/01/06	2018/08/13	Complete Genome
Orgyia pseudotsugata multiple nucleopolyhedrovirus	262177		0	Other	Baculoviridae	131.995	55.1	invertebrates	 Unknown:NC_001875.2/U75930.2	152	152	1997/03/27	2018/08/13	Complete Genome
Escherichia phage N15	1604876		0	Other	Other	46.375	51.2	bacteria	 Unknown:NC_001901.1/AF064539.1	60	60	1998/05/29	2021/10/28	Complete Genome
Vibrio phage fs2	83201		0	Other	Inoviridae	8.651	44.5	bacteria	 Unknown:NC_001956.1/AB002632.1	9	9	1998/10/06	2018/08/13	Complete Genome
Bombyx mori nucleopolyhedrovirus	271108		0	Other	Baculoviridae	128.413	40.4	invertebrates	 Unknown:NC_001962.1/L33180.1	143	143	1996/01/18	2018/08/13	Complete Genome
Human parvovirus B19	10798		0	Other	Parvoviridae	5.596	43.8	human,vertebrates	 Unknown:NC_000883.2/AY386330.1	6	6	1999/08/02	2018/08/13	Complete Genome
Periplaneta fuliginosa densovirus	97344		0	Other	Parvoviridae	5.454	38.1	-	 Unknown:NC_000936.1/AF192260.1	8	8	1999/10/27	2018/08/13	Complete Genome
Xestia c-nigrum granulovirus	51677		0	Other	Baculoviridae	178.733	40.7	invertebrates	 Unknown:NC_002331.1/AF162221.1	181	181	1999/11/02	2018/08/13	Complete Genome
Vibrio phage VfO3K6	127507		0	Other	Inoviridae	8.784	45.2	bacteria	 Unknown:NC_002362.1/AB043678.1	10	10	2000/06/03	2018/08/13	Complete Genome
Vibrio phage VfO4K68	127508		0	Other	Inoviridae	6.891	47.2	bacteria	 Unknown:NC_002363.1/AB043679.1	8	8	2000/06/03	2018/08/13	Complete Genome
Panicum streak virus	10826		0	Other	Geminiviridae	2.736	54.5	land plants	GQ415395.1	-	3	2009/12/23	2009/12/23	Complete Genome
Amsacta moorei entomopoxvirus	28321		0	Other	Poxviridae	232.392	17.8	invertebrates	 Unknown:NC_002520.1/AF250284.1	294	294	2000/08/30	2020/12/20	Complete Genome
Goose parvovirus	38251		0	Other	Parvoviridae	5.106	46.9	vertebrates	 Unknown:NC_001701.1/U25749.1	4	4	1995/12/12	2018/08/13	Complete Genome
Alcelaphine gammaherpesvirus 1	35252		0	Other	Herpesviridae	130.608	46.2	vertebrates	 Unknown:NC_002531.1/AF005370.1	71	71	1997/08/21	2018/08/13	Complete Genome
Horseradish curly top virus	46448		0	Other	Geminiviridae	3.08	41.1	-	 Unknown:NC_002543.1/U49907.1	6	6	1996/04/04	2018/08/13	Complete Genome
Tomato rugose mosaic virus	134599		0	Other	Geminiviridae	5.194	41.3289	land plants	 DNA A:NC_002555.1/AF291705.1;  DNA B:NC_002556.1/AF291706.1	7	7	2000/09/25	2018/08/13	Complete Genome
Trichoplusia ni cypovirus 15	134606		0	Other	Spinareoviridae	25.12	36.4019	invertebrates	 RNA 1:NC_002557.1/AF291683.1;  RNA 2:NC_002558.1/AF291684.1;  RNA 3:NC_002559.1/AF291685.1;  RNA 4:NC_002567.1/AF291686.3;  RNA 5:NC_002560.1/AF291687.1;  RNA 6:NC_002561.1/AF291688.1;  RNA 7:NC_002562.1/AF291689.1;  RNA 8:NC_002563.1/AF291690.1;  RNA 9:NC_002564.1/AF291691.1;  RNA 10:NC_002565.1/AF291692.1;  RNA 11:NC_002566.1/AF291693.1	1	1	2000/08/14	2018/08/13	Complete Genome
Gallid alphaherpesvirus 3	35250		0	Other	Herpesviridae	165.994	53.7	vertebrates	HQ840738.1	124	124	2011/06/20	2011/06/20	Complete Genome
Meleagrid alphaherpesvirus 1	37108		0	Other	Herpesviridae	159.16	47.6	vertebrates	 Unknown:NC_002641.1/AF291866.1	79	79	2001/01/04	2018/08/13	Complete Genome
Bdellovibrio phage phiMH2K	145579		0	Other	Microviridae	4.594	46.1	bacteria	 Unknown:NC_002643.1/AF306496.1	11	11	2001/01/03	2018/08/13	Complete Genome
Mycobacterium phage Bxb1	2902907		0	Other	Other	50.55	63.6	bacteria	NC_002656.1/AF271693.1	86	86	2001/01/28	2021/12/20	Complete Genome
Bovine gammaherpesvirus 4	10385		0	Other	Herpesviridae	108.873	41.4	vertebrates	 Unknown:NC_002665.1/AF318573.1	79	79	2001/02/14	2018/08/13	Complete Genome
Lactococcus phage bIL285	151535		0	Other	Siphoviridae	35.538	35.2	bacteria	 Unknown:NC_002666.1/AF323668.1	62	62	2001/02/15	2021/10/11	Complete Genome
Lactococcus phage bIL310	151538		0	unclassified phages	unclassified	14.957	35.9	bacteria	 Unknown:NC_002669.1/AF323671.1	29	29	2001/02/15	2021/10/11	Complete Genome
Lactococcus phage bIL312	151539		0	unclassified phages	unclassified	15.179	33	bacteria	 Unknown:NC_002671.1/AF323673.1	27	27	2001/02/15	2021/10/11	Complete Genome
Ectocarpus siliculosus virus 1	37665		0	Other	Phycodnaviridae	335.593	51.7	eukaryotic algae	 Unknown:NC_002687.1/AF204951.2	240	240	2001/02/27	2020/12/20	Complete Genome
Enterobacteria phage HK620	155148		0	Other	Other	38.297	46.7	bacteria	 Unknown:NC_002730.1/AF335538.1	58	58	2001/04/03	2021/10/11	Complete Genome
Lactococcus phage TP901-1	35345		0	Other	Siphoviridae	37.667	35.4	bacteria	 Unknown:NC_002747.1/AF304433.1	56	56	2001/04/18	2021/10/11	Complete Genome
Discula destructiva virus 1	148880		0	Other	Partitiviridae	3.372	49.5032	fungi	 RNA 1:NC_002797.1/AF316992.1;  RNA 2:NC_002800.1/AF316993.1	2	2	2001/01/28	2018/08/13	Complete Genome
Cydia pomonella granulovirus	28289		0	Other	Baculoviridae	123.5	45.3	invertebrates	 Unknown:NC_002816.1/U53466.2	143	143	2001/04/02	2018/08/13	Complete Genome
Tobacco leaf curl Zimbabwe virus	223337		0	Other	Geminiviridae	2.767	43.4	land plants	 DNA A:NC_002817.1/AF350330.1	6	6	2001/07/02	2018/08/13	Complete Genome
Ageratum yellow vein Sri Lanka virus	222079		0	Other	Geminiviridae	2.748	42.6	-	 DNA A:NC_002981.1/AF314144.1	6	6	2001/07/04	2018/08/13	Complete Genome
Cucurbit leaf crumple virus	134681		0	Other	Geminiviridae	5.232	44.0558	land plants	 DNA A:NC_002984.1/AF224760.2;  DNA B:NC_002985.1/AF224761.2	6	6	2000/02/09	2018/08/13	Complete Genome
Lumpy skin disease virus NI-2490	376849		0	Other	Poxviridae	150.773	25.9	vertebrates	 Unknown:NC_003027.1/AF325528.1	156	156	2001/07/22	2020/12/20	Complete Genome
Sugarcane bacilliform IM virus	362398		0	Other	Caulimoviridae	7.687	43.1	-	 Unknown:NC_003031.1/AJ277091.1	3	3	2001/07/26	2018/08/13	Complete Genome
Invertebrate iridescent virus 6	176652		0	Other	Iridoviridae	212.482	28.6	invertebrates	 Unknown:NC_003038.1/AF303741.1	463	468	2001/07/31	2020/12/20	Complete Genome
Okra leaf curl Mali virus	454129		0	Other	Geminiviridae	2.78	45.1	land plants	 DNA A:EU024120.1	6	6	2007/07/23	2009/03/18	Complete Genome
Plutella xylostella granulovirus	98383		0	Other	Baculoviridae	100.999	40.7	invertebrates	 Unknown:NC_002593.1/AF270937.1	121	120	2000/10/29	2018/08/13	Complete Genome
Escherichia phage Mu	2681603		0	Other	Other	36.717	52.1	bacteria	 Unknown:NC_000929.1/AF083977.1	55	55	1999/10/05	2022/01/20	Complete Genome
Goose circovirus	146032		0	Other	Circoviridae	1.821	49.2	vertebrates	NC_003054.1/AJ304456.1	4	4	2001/08/07	2018/08/13	Complete Genome
Porcine endogenous retrovirus E	168238		0	Other	Retroviridae	8.072	48	human,vertebrates	 Unknown:NC_003059.1/AF356697.1	-	-	2001/08/12	2018/08/13	Complete Genome
Epiphyas postvittana nucleopolyhedrovirus	70600		0	Other	Baculoviridae	118.584	40.7	invertebrates	 Unknown:NC_003083.1/AY043265.1	137	136	2001/08/19	2018/08/13	Complete Genome
Culex nigripalpus nucleopolyhedrovirus	130556		0	Other	Baculoviridae	108.252	50.9	-	 Unknown:NC_003084.1/AF403738.1	109	109	2001/08/22	2018/08/13	Complete Genome
Blueberry red ringspot virus	172220		0	Other	Caulimoviridae	8.303	31.1	land plants	 Unknown:NC_003138.2/AF404509.2	8	8	2001/10/11	2018/08/13	Complete Genome
Lactococcus phage Tuc2009	35241		0	Other	Siphoviridae	38.347	36.2	bacteria	 Unknown:NC_002703.1/AF109874.2	56	56	1999/06/08	2021/10/11	Complete Genome
Sulfolobus islandicus filamentous virus	176106		0	Other	Lipothrixviridae	40.9	33.4	archaea	 Unknown:NC_003214.2/AF440571.2	73	73	2001/11/06	2020/12/20	Complete Genome
Streptococcus phage Sfi21	2905688		0	Other	Other	40.739	37.6	bacteria	 Unknown:NC_000872.1/AF115103.1	50	50	1999/07/09	2021/12/22	Complete Genome
Spodoptera exigua multiple nucleopolyhedrovirus	10454		0	Other	Baculoviridae	135.611	43.8	invertebrates	 Unknown:NC_002169.1/AF169823.1	142	139	1999/12/29	2018/08/13	Complete Genome
Staphylococcus prophage phiPV83	129009		0	Other	Other	45.636	33.5	bacteria	 Unknown:NC_002486.1/AB044554.1	65	65	2000/07/04	2021/10/11	Complete Genome
Mycoplasma phage P1	2905920		0	Other	Other	11.66	26.8	bacteria	 Unknown:NC_002515.1/AF246223.1	11	11	2000/08/22	2022/01/06	Complete Genome
Staphylococcus phage phiSLT	2952367		0	Other	Other	42.942	33.3	bacteria	 Unknown:NC_002661.2/AB045978.2	61	61	2001/02/07	2022/06/15	Complete Genome
Spodoptera litura nucleopolyhedrovirus	46242		0	Other	Baculoviridae	139.342	42.8	invertebrates	 Unknown:NC_003102.1/AF325155.1	141	141	2001/09/11	2018/08/13	Complete Genome
Lactococcus phage bIL311	151534		0	unclassified phages	unclassified	14.51	34.2	bacteria	 Unknown:NC_002670.1/AF323672.1	22	22	2001/02/15	2021/10/11	Complete Genome
Phietavirus ETA	106284		0	Other	Other	43.081	35.4	bacteria	 Unknown:NC_003288.1/AP001553.1	66	66	2000/07/04	2021/10/11	Complete Genome
Bacteriophage K139	2905721		0	Other	Peduoviridae	33.106	48.9	bacteria	 Unknown:NC_003313.1/AF125163.2	44	44	1999/03/29	2021/12/22	Complete Genome
Streptococcus phage phiNIH1.1	173707		0	Other	Siphoviridae	43.106	38.6	-	 Unknown:NC_003157.5/AY050245.2	56	56	2001/10/07	2022/06/05	Complete Genome
Sinorhizobium phage PBC5	179237		0	Other	Podoviridae	57.416	61.5	bacteria	 Unknown:NC_003324.1/AF448724.1	60	60	2001/12/20	2021/10/11	Complete Genome
Soybean crinkle leaf virus	85753		0	Other	Geminiviridae	2.737	42.8	land plants	 DNA A:NC_003357.1/AB050781.1	8	8	2002/01/05	2018/08/13	Complete Genome
Tobacco vein clearing virus	107324		0	Other	Caulimoviridae	7.767	27.2	land plants	 Unknown:NC_003378.1/AF190123.1	4	4	1999/11/15	2018/08/13	Complete Genome
Miscanthus streak virus - [91]	268776		0	Other	Geminiviridae	2.672	50.7	land plants	 Unknown:NC_003379.1/D01030.1	5	5	1993/04/29	2018/08/13	Complete Genome
Rice yellow mottle virus satellite	195056		0	Satellites	unclassified	0.22	63.6	-	 Unknown:NC_003380.1/AF039909.1	2	1	1998/01/10	2018/08/13	Complete Genome
Citrus yellow mosaic virus	174178		0	Other	Caulimoviridae	7.559	43.6	land plants	 Unknown:NC_003382.1/AF347695.1	6	6	2001/10/25	2018/08/13	Complete Genome
Mycobacterium phage TM4	88870		0	Other	Other	52.797	68.1	bacteria	 Unknown:NC_003387.1/AF068845.1	89	89	1999/02/24	2020/12/20	Complete Genome
Swinepox virus	10276		0	Other	Poxviridae	146.454	27.4	vertebrates	 Unknown:NC_003389.1/AF410153.1	150	150	2002/01/31	2020/12/20	Complete Genome
Camelpox virus	28873		0	Other	Poxviridae	205.719	33.2	human,vertebrates	 Unknown:NC_003391.1/AF438165.1	211	211	2002/02/04	2020/12/20	Complete Genome
Human gammaherpesvirus 8	37296		0	Other	Herpesviridae	137.969	53.8	human,vertebrates	 Unknown:NC_009333.1/AF148805.2	96	86	1999/08/02	2019/06/04	Complete Genome
Methanobacterium phage psiM2	77048		0	Other	Leisingerviridae	26.111	46.3	archaea	 Unknown:NC_001902.1/AF065411.1	32	32	1998/06/24	2021/10/11	Complete Genome
Spiroplasma phage 4	2928746		0	Other	Microviridae	4.421	32.1	bacteria	 Unknown:NC_003438.1/M17988.1	9	9	1993/08/03	2022/03/24	Complete Genome
Enterobacteria phage SfV	55884		0	Other	Myoviridae	37.074	50.8	bacteria	 Unknown:NC_003444.1/U82619.2	53	53	1997/10/04	2021/10/11	Complete Genome
Propionibacterium phage B5	189836		0	Other	Paulinoviridae	5.804	64.3	bacteria	 Unknown:NC_003460.1/AF428260.1	10	10	2002/03/21	2018/08/13	Complete Genome
Atkinsonella hypoxylon virus	37961		0	Other	Partitiviridae	4.315	40.4276	fungi	 1:NC_003470.1/L39125.1;  2:NC_003471.1/L39126.1	2	2	1995/01/27	2018/08/13	Complete Genome
Bean calico mosaic virus	31602		0	Other	Geminiviridae	5.175	41.1617	land plants	 DNA A:NC_003504.1/AF110189.1;  DNA B:NC_003505.1/AF110190.1	7	7	1999/04/04	2018/08/13	Complete Genome
Clostridium phage phi3626	190478		0	Other	Siphoviridae	33.507	28.4	bacteria	 Unknown:NC_003524.1/AY082070.1	50	50	2002/04/02	2021/10/11	Complete Genome
Mamestra configurata nucleopolyhedrovirus A	207830		0	Other	Baculoviridae	155.06	41.7	invertebrates	 Unknown:NC_003529.1/U59461.2	169	169	1997/03/29	2018/08/13	Complete Genome
Cereal yellow dwarf virus-RPV satellite RNA	191032		0	Satellites	unclassified	0.322	50	-	 Unknown:NC_003533.1/M63666.1	-	-	1991/07/31	2018/08/13	Complete Genome
Eupatorium yellow vein virus-[SOJ3]	335404		0	Other	Geminiviridae	2.778	43.1	land plants	 DNA A:NC_038879.1/AJ438937.1	6	6	2003/01/06	2018/08/24	Complete Genome
Honeysuckle yellow vein mosaic virus	180587		0	Other	Geminiviridae	2.757	43.8	land plants	 DNA A:NC_003609.1/AB020781.1	6	6	2000/08/01	2018/08/13	Complete Genome
Milk vetch dwarf virus	67585		0	Other	Nanoviridae	7.911	39.5075	land plants	 DNA C:NC_003641.1/AB000923.1;  DNA 5:NC_003642.1/AB000924.1;  DNA 6:NC_003643.1/AB000925.1;  DNA 7:NC_003644.1/AB000926.1;  DNA 8:NC_003645.1/AB000927.1;  DNA 9:NC_003646.1/AB009046.1;  DNA 11:NC_003648.1/AB027511.1;  DNA U4:NC_023626.1/AB255373.1	8	8	1998/10/27	2018/08/13	Complete Genome
Bhendi yellow vein mosaic virus	120168		0	Other	Geminiviridae	2.747	43	land plants	 DNA A:EU589392.1	6	6	2008/04/15	2008/04/15	Complete Genome
Cowpox virus	10243		0	Other	Poxviridae	224.499	33.4	human,vertebrates	 Unknown:NC_003663.2/AF482758.2	233	233	2002/04/16	2020/12/20	Complete Genome
Tomato chlorotic mottle virus-Crumple	223339		0	Other	Geminiviridae	2.625	43.7	land plants	 DNA A:AY090557.1	6	6	2002/04/17	2004/06/18	Complete Genome
Watermelon chlorotic stunt virus	35341		0	Other	Geminiviridae	5.498	47.3996	land plants	 DNA A:NC_003708.1/AJ012081.1;  DNA B:NC_003709.1/AJ012082.1	8	8	2000/12/13	2018/08/13	Complete Genome
Sugarcane streak virus	10836		0	Other	Geminiviridae	2.758	50.7	land plants	 Unknown:NC_003744.1/M82918.1	3	3	1993/08/03	2018/08/13	Complete Genome
Spiroplasma phage C74	185959		0	Other	Plectroviridae	7.768	23.2	bacteria	 Unknown:NC_003793.1/U28974.1	13	13	1996/01/01	2018/08/13	Complete Genome
South African cassava mosaic virus	63723		0	Other	Geminiviridae	5.56	44.9115	land plants	 DNA A:NC_003803.1/AF155806.1;  DNA B:NC_003804.1/AF155807.2	8	8	2000/02/20	2018/08/13	Complete Genome
Subterranean clover stunt virus	36772		0	Other	Nanoviridae	7.989	38.4045	land plants	 DNA R:MK035728.1;  DNA S:MK035729.1;  DNA C:MK035730.1;  DNA M:MK035731.1;  DNA N:MK035732.1;  DNA U1:MK035733.1;  DNA U2:MK035734.1;  DNA U4:MK035735.1	8	8	2019/02/20	2019/02/20	Complete Genome
Tobacco yellow dwarf virus	10830		0	Other	Geminiviridae	2.58	43.4	land plants	 Unknown:NC_003822.1/M81103.1	4	4	1993/08/03	2018/08/13	Complete Genome
Tomato golden mottle virus	223342		0	Other	Geminiviridae	5.172	41.8625	land plants	 DNA B:NC_008057.1/DQ406674.1;  DNA A:NC_008058.1/DQ520943.1	7	7	2006/03/25	2018/08/13	Complete Genome
Chino del tomate virus	47838		0	Other	Geminiviridae	5.213	45.019	land plants	 DNA A:NC_003830.1/AF101476.1;  DNA B:NC_003831.1/AF101478.1	7	7	1999/03/04	2018/08/13	Complete Genome
Solanum nodiflorum mottle virus satellite RNA	195061		0	Satellites	unclassified	0.377	56.2	-	 Unknown:NC_003850.1/J02386.1	-	-	1990/06/15	2018/08/13	Complete Genome
Dicliptera yellow mottle virus	94700		0	Other	Geminiviridae	2.608	40.4	land plants	 DNA A:AJ549960.1	4	4	2003/03/14	2005/04/15	Complete Genome
Cabbage leaf curl virus	51336		0	Other	Geminiviridae	5.096	42.7837	land plants	chromosome DNA A:NC_003866.1/U65529.2; chromosome DNA B:NC_003887.1/U65530.2	8	7	1996/11/01	2018/08/13	Complete Genome
Tomato mosaic Havana virus-[Quivican]	223357		0	Other	Geminiviridae	5.206	43.6608	land plants	 DNA A:NC_003867.1/Y14874.1;  DNA B:NC_003868.1/Y14875.1	7	7	1998/09/04	2018/08/13	Complete Genome
Tobacco ringspot virus satellite RNA	31504		0	Satellites	unclassified	0.359	54.9	invertebrates	 Unknown:NC_003889.1/M14879.1	-	-	1989/06/15	2018/08/13	Complete Genome
Melon chlorotic leaf curl virus-[Guatemala]	223286		0	Other	Geminiviridae	5.3	42.3036	land plants	 DNA A:NC_004732.1/AF325497.1;  DNA B:NC_028138.1/AF325498.2	6	6	2001/08/02	2018/08/13	Complete Genome
Tomato leaf curl Bangalore virus-[Ban5]	220933		0	Other	Geminiviridae	2.759	41.8	land plants	 DNA A:AF295401.1	6	6	2001/03/15	2005/11/30	Complete Genome
Tomato leaf curl virus	28350		0	Other	Geminiviridae	2.766	43.6	land plants	 DNA A:NC_003896.1/S53251.1	6	6	1993/05/08	2018/08/13	Complete Genome
Velvet tobacco mottle virus Satellite RNA	196095		0	Satellites	unclassified	0.366	55.7	land plants	 Unknown:NC_003906.1/J02439.1	-	-	1987/05/20	2018/08/13	Complete Genome
Psittacus erithacus papillomavirus 1	2773288		0	Other	Papillomaviridae	7.304	49.3	vertebrates	 Unknown:NC_003973.1/AF502599.1	6	6	2002/06/02	2020/11/20	Complete Genome
